location,count,link
"moscow, idaho",1110,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#moscow,%20idaho"
"moscow, id",744,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#moscow,%20id"
"pullman, wa",16,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#pullman,%20wa"
"4 mi se of moscow, id",2,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#4%20mi%20se%20of%20moscow,%20id"
"troy, idaho",1,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#troy,%20idaho"
"lewiston, idaho",1,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#lewiston,%20idaho"
"paradise valley (moscow)",1,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#paradise%20valley%20(moscow)"
"2nd st., moscow, id",1,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#2nd%20st.,%20moscow,%20id"
"moscow. id",1,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#moscow.%20id"
"mosocw, id",1,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#mosocw,%20id"
"4 mi east of moscow, id",1,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#4%20mi%20east%20of%20moscow,%20id"
"area of moscow, id",1,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#area%20of%20moscow,%20id"
"moscow",1,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#moscow"
