identifier,title,description,creator,location,date,dateCreated:start,dateCreated:end,type,content_type,format,subject,subject#0,subject#1,subject#2,subject#3,subject#4,subject#5,filename,customtext:LCHSObjectID,rights,location:placename/en2,locationCreated:placename,object_thumb,object_location,reference_url
"01-02-001","Main Street Parade","A parade on Main Street of Moscow in June 1934 with soldiers parading with a flag.","","Moscow, Idaho","1934-06","1934-06","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Parade; Flag; Soldiers; Vandal Cafe; Billiards","Main Street","Parade","Flag","Soldiers","Vandal Cafe","Billiards","01-02-001.jpg","01-02-001","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-001_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-001.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-001.html"
"01-02-002","Third and Main","Corner of Third and Main Street in Moscow, Idaho.","","Moscow, Idaho","1970","1970","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Third Street; Hodgins Drugs; Jackle Jewelry; Banks; Downtown","Main Street","Third Street","Hodgins Drugs","Jackle Jewelery","Bank","Downtown","01-02-002.jpg","01-02-002","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-002_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-002.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-002.html"
"01-02-003","Early Moscow First and Main Street","Looking North from left to right is City Hall (two story building, Frye Hotel, Bank Exchange, White&#39;s Drug store, Mconnell &amp; Co.","","Moscow, Idaho","1885","1885","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; First Street; McConnell and Company; Frye Hotel; City Hall; White&#39;s Drug Store","Main Street","First Street","McConnell and Company","Frye Hotel","City Hall","White&#39;s Drug Store","01-02-003.jpg","01-02-003","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-003_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-003.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-003.html"
"01-02-004","Old Band Stand on Fourth and Main Street","The Old Band Stand near Fourth and Main Streets. The bandstand played at various location every Friday night during the summer with a 20 piece band with Ed Carey as band leader.  The small bus in front of Hotel Moscow carried people from the depot to the hotel.","","Moscow, Idaho","1917-07","1917-07","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Fourth Street; Moscow Hotel; F. A. Davids&#39;; Downtown Moscow; Flag","Main Street","Fourth Street","Hotel Moscow","F. A. Davids&#39;","Downtown Moscow","Flag","01-02-004.jpg","01-02-004","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-004_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-004.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-004.html"
"01-02-005","Neptune Hose Cart Company","Pictured is the Neptune Hose Cart Copany on Main Street of Moscow, facing south between 4th and 5th Streets. Figure pictured on the far left is Dr. James McLean, University of Idaho President. Dr. Mclean served as the fire department&#39;s first assistant engineer for several years.","","Moscow, Idaho","1900","1900","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Neptune Hose Cart Company; James McLean; Fire Department; Pacific Coast Elevator Company; Flag","Main Street","Neptune Hose Cart Company","James McLean","Fire Department","Pacific Coast Elevator Company","Flag","01-02-005.jpg","01-02-005","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-005_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-005.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-005.html"
"01-02-006","Hose Cart Company #4","Hose Cart Company of Moscow, Idaho looking South on Main Street in fron of the Crystal Theatre.","","Moscow, Idaho","1900","1900","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Fifth Street; Crystal Theatre; Hose Cart Company; Williamson&#39;s; Moscow Fire Department","Main Street","Fifth Street","Crystal Theatre","Hose Cart Company","Williamson&#39;s","Moscow Fire Department","01-02-006.jpg","01-02-006","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-006_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-006.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-006.html"
"01-02-007","Moscow&#39;s First Dentist","J.H. McCalie&#39;s Dental Surgery was the home and office of Moscow&#39;s first dentist located on Main Street. White and White Drug Store is the building to the right at 1st and Main Street.","","Moscow, Idaho","1880","1880","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Dentist; McCallie; White&#39;s Drug Store; Lillie Lieauallen; Downtown","Main Street","Dentist","McCallie","White&#39;s Drug Store","Lillie Lieauallen","Downtown","01-02-007.jpg","01-02-007","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-007_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-007.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-007.html"
"01-02-008","July 4th Hose Cart Company","Hose Cart Company of Moscow, Idaho going down Main Street on July 4th of 1911. In front of the Lumber company in the background is a wagon with blocks of ice being carted around.","","Moscow, Idaho","1911","1911","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Hose Cart Company; Tom Keene; Potlatch Lumber Company; Downtown Moscow; Flag","Main Street","Hose Cart Company","Tom Keene","Potlatch Lumber Company","Downtown Moscow","Flag","01-02-008.jpg","01-02-008","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-008_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-008.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-008.html"
"01-02-009","Girl&#39;s Race Postcard","Postcard showing the Girl&#39;s Race that took place on Moscow&#39;s Main Street on July 4th, 1911.","","Moscow, Idaho","1911","1911","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Postcard; July 4th; Girl&#39;s Race; Downtown Moscow; Martin Photo","Main Street","Postcard","July 4th","Girl&#39;s Race","Downtown Moscow","Martin Photo","01-02-009.jpg","01-02-009","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-009_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-009.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-009.html"
"01-02-010","July 4, 1911 Postcard","Main Street and corner of Third Street look at the east side of the street on July 4, 1911 in Moscow, Idaho.","","Moscow, Idaho","1911","1911","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Postcard; July 4th; Martin Photo; Downtown Moscow; Gathering","Main Street","Postcard","July 4th","Martin Photo","Downtown Moscow","Gathering","01-02-010.jpg","01-02-010","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-010_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-010.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-010.html"
