objectid,identifier,notes,orderid,title,description,creator,location,date,dateCreated:start,dateCreated:end,type,content_type,format,subject,subject#0,subject#1,subject#2,subject#3,subject#4,subject#5,filename,customtext:LCHSObjectID,rights,location:placename/en2,display_template,object_location,image_small,image_thumb
01-05-001b,01-05-001b,,,Mason A. Cornwall Home,The home of Mason A. Cornwall which is located at 208 South Hayes Street.,,"Moscow, ID",1889,1889,,Image;StillImage,,image/jpeg,Cornwall; 3rd Street; Hayes Street; Neighborhood; Residential; Idaho,Cornwall,3rd Street,Hayes Street,Neighborhood,Residential,Idaho,01-05-001b.jpg,01-05-001b,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-001b.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-001b_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-001b_th.jpg
01-05-180,01-05-180,,,Dr. Watkin's house,"Dr. Watkin's house at 402 S. Van Buren, Moscow, ID (2 copies)",,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-180.jpg,01-05-180,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-180.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-180_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-180_th.jpg
01-05-185,01-05-185,,,Quesnelle home,"Quesnell home at 326 East A. Street in Moscow across the street from Russell School Owner is Cornelius Quesnelle, co-owner of Idaho National Harveste3r Co.",,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-185.jpg,01-05-185,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-185.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-185_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-185_th.jpg
01-05-190,01-05-190,,,McConnell Mansion repair,McConnell Mansion repair,,"Moscow, ID",1980,1980,,Image;StillImage,,image/jpeg,Residential; McConnell Mansion; Idaho,Residential,McConnell Mansion,,,,Idaho,01-05-190.jpg,01-05-190,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-190.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-190_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-190_th.jpg
01-05-191,01-05-191,,,Almon Asbury Lieuallen house,Almon Asbury Lieuallen house,,"Moscow, ID",1980,1980,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-191.jpg,01-05-191,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-191.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-191_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-191_th.jpg
01-05-234,01-05-234,,,Asbury Lieuallen house,Asbury Lieuallen house Donor: Lillian Otness,,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Lieuallen house; Idaho,Residential,Asbury Lieuallen house,,,,Idaho,01-05-234.jpg,01-05-234,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-234.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-234_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-234_th.jpg
01-05-235,01-05-235,,,Asbury Lieuallen house,Asbury Lieuallen house Donor: Lillian Otness,,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Lieuallen house; Idaho,Residential,Asbury Lieuallen house,,,,Idaho,01-05-235.jpg,01-05-235,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-235.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-235_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-235_th.jpg
01-05-236,01-05-236,,,Asbury Lieuallen house,Asbury Lieuallen house Donor: Lillian Otness,,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Lieuallen house; Idaho,Residential,Asbury Lieuallen house,,,,Idaho,01-05-236.jpg,01-05-236,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-236.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-236_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-236_th.jpg
01-05-245,01-05-245,,,617 W. Sixth Street,"617 W. Sixth on the site of a former brick yard. Belonged to Curtis L. and Mildred Waters Talbott Donor: Arlene Jonas Three groups of photos: 01-05-245A Exterior views of house - front, back yard, back looking SE, back looking SW 01-05-245 Interior views of house - Kitchen eating area, view into kitchen hall, home office, two views of a bedroom 01050245C Interior views - three views of the living room",,"Moscow, ID",1970,early 1970s,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-245.jpg,01-05-245,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-245.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-245_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-245_th.jpg
01-05-246,01-05-246,,,Harry Driscoll house,"Harry Driscoll house, East Second St., Moscow",,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Harry Driscoll house; Idaho,Residential,Harry Driscoll house,,,,Idaho,01-05-246.jpg,01-05-246,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-246.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-246_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-246_th.jpg
01-05-247,01-05-247,,,Bull Ward home,Bull Ward's home (Ward;s Hardware); owned by I. L. Standley in 1990 Donor: Ken Hedglin,,"Moscow, ID",1948,1948,,Image;StillImage,,image/jpeg,Residential; Bull Ward home; Idaho,Residential,Bull Ward home,,,,Idaho,01-05-247.jpg,01-05-247,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-247.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-247_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-247_th.jpg
01-05-260,01-05-260,,,1898 interior,"1898 home interior,  most likely in Moscow (showing child's tea party for dolls)",,"Moscow, ID",1898,1898,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-260.jpg,01-05-260,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-260.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-260_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-260_th.jpg
01-05-270,01-05-270,,,Lauder home,Lauder home on Van Buren and Second Streets birthplace of Alma Lauder Keeling.,,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Lauder home; Idaho,Residential,Lauder home,,,,Idaho,01-05-270.jpg,01-05-270,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-270.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-270_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-270_th.jpg
01-05-271,01-05-271,,,Taylor Cabin,Part of the Taylor homstead cabin. There are two people and two horse standing in front of the cabin.,,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Taylor cabin; Idaho,Residential,Taylor cabin,,,,Idaho,01-05-271.jpg,01-05-271,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-271.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-271_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-271_th.jpg
01-05-291,01-05-291,,,Day Mansion,Picture of the garden.,,"Moscow, ID",1994-07,"July, 1994",,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-291.jpg,01-05-291,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-291.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-291_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-291_th.jpg
01-05-303,01-05-303,,,Luther garden,"Vern and Mary Luther's garden, 1214 Lynn St.",,"Moscow, ID",1994,1994,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-303.jpg,01-05-303,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-303.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-303_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-303_th.jpg
01-05-304,01-05-304,,,Luther garden,"Vern and Mary Luther's garden, 1214 Lynn St.",,"Moscow, ID",1994,1994,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-304.jpg,01-05-304,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-304.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-304_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-304_th.jpg
01-05-305,01-05-305,,,Charles Carter home,"Charles Carter home, 615 East C Street",,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-305.jpg,01-05-305,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-305.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-305_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-305_th.jpg
