objectid,cross2,notes,orderid,title,description,creator,location,date,dateCreated:start,dateCreated:end,type,content_type,format,subject,subject#0,subject#1,subject#2,subject#3,subject#4,subject#5,filename,customtext:LCHSObjectID,rights,location:placename/en2,locationCreated:placename,display_template,object_location,image_small,image_thumb
01-02-061,,,,4th of July Parade,Horse drawn parade floats marching down Main Street in front of Potlatch Lumber Co. for the 4th of July celebration.,,"Moscow, Idaho",1911,1911,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; 4th of July; Potlatch Lumber Company; Parade; Floats; Idaho,Main Street,4th of July,Potlatch Lumber Company,Parade,Floats,Idaho,01-02-061.jpg,01-02-061,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,,,,
01-02-273,,,,Growth & Progress Fair,"Williamson's Store with large advertisements on the side showing the annual growth of the store, during the Growth & Progress Fair in 1909.",,"Moscow, Idaho",1909,1909,,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Williamson's; Growth & Progress Fair; Civic Promotion; Downtown; Idaho,Main Street,Williamson's,Growth & Progress Fair,Civic Promotion,Downtown,Idaho,01-02-273.jpg,01-02-273,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,,,,
01-02-308,,,,Muddy Main Street,A horse drawn carriage riding down a muddy Main Street near Temperence Hall.,,"Moscow, Idaho",1880,1880,1910,Image;StillImage,PHOTOGRAPH,image/jpeg,Main Street; Temperence Hall; Horse Drawn Carriage; Dirt Roads; Downtown; Idaho,Main Street,Temperence Hall,Horse Drawn Carriage,Dirt Roads,Downtown,Idaho,01-02-308.jpg,01-02-308,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.",,,,,,
01-03-011,,,,"Blanchard's Cigar Store, Moscow, Idaho","Two men standing in front of Blanchard's Cigar Store, Moscow, Idaho, which later became the location for Ken's Stationery on Main Street.",Photographer Unidentified,"Moscow, Idaho",1938,1938,1942,Image;StillImage,PHOTOGRAPH,image/jpeg,"Cigar Store; Moscow; Idaho; Bill Hoke; Ken's Stationery; Blanchard, Charlie",Cigar Store,Moscow,Idaho,Bill Hoke,Ken's Stationery,Charlie Blanchard,01-03-011.jpg,01-03-011,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","Moscow, Idaho",,,,,
01-03-087,,,,The interior of Davids' Department store,"Davids' department store, fabric and accessories department.",Photographer Unidentified,"Moscow, Idaho",1940,1940,,Image;StillImage,PHOTOGRAPH,image/jpeg,Davids'; Department Store; Fabric; Ribbon; Moscow; Idaho,Davids' ,Department Store,Fabric,Ribbon,Moscow,Idaho,01-03-087.jpg,01-03-087,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","Moscow, Idaho",,,,,
01-03-119-02,,,,McConnell-Maguire building,McConnell-Maguire building containing Brown's Furniture store.  Cars travelling on snowy streets.,Photographer Unidentified,"Moscow, Idaho",1980,1980,,Image;StillImage,PHOTOGRAPH,image/jpeg,McConnell-Maguire Building; Brown's Furniture; Cars; Snow; Moscow; Idaho,McConnell-Maguire Building,Brown's Furniture,Cars,Snow,Moscow,Idaho,01-03-119-02.jpg,01-03-119-02,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","Moscow, Idaho",,,,,
01-03-188,,,,First Trust Co. interior,"First Trust Company Office (On NW corner of Second and the alley) interior, John L. Naylor in front",Photographer Unidentified,"Moscow, Idaho",1910,1910,,Image;StillImage,PHOTOGRAPH,image/jpeg,,,,,,"Naylor, John L.",,01-03-188.jpg,01-03-188,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","Moscow, Idaho",,,,,
01-03-189,,,,First Trust Co. interior,"First Trust Company Office Interior, John L. Naylor Donor: Talbott",Photographer Unidentified,"Moscow, Idaho",1910.0,1910.0,,Image;StillImage,PHOTOGRAPH,image/jpeg,,,,,,"Naylor, John L.",,01-03-189.jpg,01-03-189,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","Moscow, Idaho",,,,,
01-03-205,,,,Elk's Club interior,"Elks Club, Interior (Pioneers Meeting)",Photographer Unidentified,"Moscow, Idaho",,,,Image;StillImage,PHOTOGRAPH,image/jpeg,,,,,,,,01-03-205.jpg,01-03-205,,"Moscow, Idaho",,,,,
01-03-222,,,,Schraeder's Bakery (later Moscow Bakery),Schraeder's Bakery; Bill Sheaffer owned the Moscow Bakery From 1940-1970.,Photographer Unidentified,"Moscow, Idaho",1930,ca.1930's,,Image;StillImage,PHOTOGRAPH,image/jpeg,,,,,,,,01-03-222.jpg,01-03-222,,"Moscow, Idaho",,,,,
