objectid,cross,object_location,image_small,image_thumb
01-01-001,01-01-001,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-001.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-001_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-001_th.jpg
01-01-002,01-01-002,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-002.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-002_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-002_th.jpg
01-01-003,01-01-003,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-003.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-003_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-003_th.jpg
01-01-005,01-01-005,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-005.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-005_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-005_th.jpg
01-01-006,01-01-006,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-006.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-006_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-006_th.jpg
01-01-007,01-01-007,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-007.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-007_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-007_th.jpg
01-01-008,01-01-008,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-008.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-008_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-008_th.jpg
01-01-009,01-01-009,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-009.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-009_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-009_th.jpg
01-01-010,01-01-010,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-010.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-010_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-010_th.jpg
01-01-011,01-01-011,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-011.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-011_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-011_th.jpg
