objectid,cross,object_location,image_small,image_thumb
01-01-037,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-037.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-037_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-037_th.jpg
01-01-038,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-038.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-038_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-038_th.jpg
01-01-039,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-039.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-039_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-039_th.jpg
01-01-040,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-040.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-040_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-040_th.jpg
01-01-041,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-041.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-041_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-041_th.jpg
01-01-042,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-042.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-042_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-042_th.jpg
01-02-007-002,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-007-002.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-007-002_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-007-002_th.jpg
01-02-067,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-067.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-067_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-067_th.jpg
01-02-129-02,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-129-02.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-129-02_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-129-02_th.jpg
01-02-205-2,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-205-2.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-02-205-2_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-205-2_th.jpg
